"ccpp_ubigeo","ccpp_name","type","variable","day","value"
"1000000000","hospital","station","high_temp",2023-12-08,NA
"1000000000","hospital","station","high_temp",2023-12-09,NA
"1000000000","hospital","station","high_temp",2023-12-10,NA
"1000000000","hospital","station","high_temp",2023-12-11,NA
"1000000000","hospital","station","high_temp",2023-12-12,NA
"1000000000","hospital","station","high_temp",2023-12-13,NA
"1000000000","hospital","station","high_temp",2023-12-14,NA
"1000000000","hospital","station","high_temp",2023-12-15,NA
"1000000000","hospital","station","high_temp",2023-12-16,NA
"1000000000","hospital","station","high_temp",2023-12-17,NA
"1000000000","hospital","station","high_temp",2023-12-18,30.1357142857143
"1000000000","hospital","station","high_temp",2023-12-19,29.3944444444444
"1000000000","hospital","station","high_temp",2023-12-20,30.56875
"1000000000","hospital","station","high_temp",2023-12-21,27.5541666666667
"1000000000","hospital","station","high_temp",2023-12-22,27.4284722222222
"1000000000","hospital","station","high_temp",2023-12-23,28.4430555555556
"1000000000","hospital","station","high_temp",2023-12-24,27.6590277777778
"1000000000","hospital","station","high_temp",2023-12-25,28.9347222222222
"1000000000","hospital","station","high_temp",2023-12-26,26.5395833333333
"1000000000","hospital","station","high_temp",2023-12-27,26.3368055555556
"1000000000","hospital","station","high_temp",2023-12-28,25.0402777777778
"1000000000","hospital","station","high_temp",2023-12-29,27.0381944444444
"1000000000","hospital","station","high_temp",2023-12-30,29.6784722222222
"1000000000","hospital","station","high_temp",2023-12-31,27.51875
"1000000000","hospital","station","high_temp",2024-01-01,27.5023346303502
"1000000000","hospital","station","high_temp",2024-01-02,29.2909722222222
"1000000000","hospital","station","high_temp",2024-01-03,28.3715277777778
"1000000000","hospital","station","high_temp",2024-01-04,28.8909722222222
"1000000000","hospital","station","high_temp",2024-01-05,27.6198347107438
"1000000000","hospital","station","high_temp",2024-01-06,28.4597222222222
"1000000000","hospital","station","high_temp",2024-01-07,29.1402777777778
"1000000000","hospital","station","high_temp",2024-01-08,27.2493055555556
"1000000000","hospital","station","high_temp",2024-01-09,27.2979166666667
"1000000000","hospital","station","high_temp",2024-01-10,28.3826388888889
"1000000000","hospital","station","high_temp",2024-01-11,27.6131944444444
"1000000000","hospital","station","high_temp",2024-01-12,26.7090277777778
"1000000000","hospital","station","high_temp",2024-01-13,29.0833333333333
"1000000000","hospital","station","high_temp",2024-01-14,28.9409722222222
"1000000000","hospital","station","high_temp",2024-01-15,27.2816091954023
"1000000000","hospital","station","high_temp",2024-01-16,26.6787610619469
"1000000000","hospital","station","high_temp",2024-01-17,24.9729166666667
"1000000000","hospital","station","high_temp",2024-01-18,25.8104166666667
"1000000000","hospital","station","high_temp",2024-01-19,25.7729166666667
"1000000000","hospital","station","high_temp",2024-01-20,27.1451388888889
"1000000000","hospital","station","high_temp",2024-01-21,27.2736111111111
"1000000000","hospital","station","high_temp",2024-01-22,27.9375
"1000000000","hospital","station","high_temp",2024-01-23,27.5173611111111
"1000000000","hospital","station","high_temp",2024-01-24,28.4805447470817
"1000000000","hospital","station","high_temp",2024-01-25,27.5765714285714
"1000000000","hospital","station","high_temp",2024-01-26,27.85
"1000000000","hospital","station","high_temp",2024-01-27,28.4902777777778
"1000000000","hospital","station","high_temp",2024-01-28,28.5222222222222
"1000000000","hospital","station","high_temp",2024-01-29,29.3875
"1000000000","hospital","station","high_temp",2024-01-30,29.5569444444444
"1000000000","hospital","station","high_temp",2024-01-31,26.675
"1000000000","hospital","station","high_temp",2024-02-01,27.8487804878049
"1000000000","hospital","station","high_temp",2024-02-02,28.51875
"1000000000","hospital","station","high_temp",2024-02-03,26.8409722222222
"1000000000","hospital","station","high_temp",2024-02-04,27.8013888888889
"1000000000","hospital","station","high_temp",2024-02-05,26.9638888888889
"1000000000","hospital","station","high_temp",2024-02-06,26.80622406639
"1000000000","hospital","station","high_temp",2024-02-07,28.4576388888889
"1000000000","hospital","station","high_temp",2024-02-08,29.1680555555556
"1000000000","hospital","station","high_temp",2024-02-09,29.2125
"1000000000","hospital","station","high_temp",2024-02-10,29.1409722222222
"1000000000","hospital","station","high_temp",2024-02-11,27.3270833333333
"1000000000","hospital","station","high_temp",2024-02-12,27.1451388888889
"1000000000","hospital","station","high_temp",2024-02-13,25.6258064516129
"1000000000","hospital","station","high_temp",2024-02-14,NA
"1000000000","hospital","station","high_temp",2024-02-15,NA
"1000000000","hospital","station","high_temp",2024-02-16,NA
"1000000000","hospital","station","high_temp",2024-02-17,NA
"1000000000","hospital","station","high_temp",2024-02-18,NA
"1000000000","hospital","station","high_temp",2024-02-19,27.9728682170543
"1000000000","hospital","station","high_temp",2024-02-20,29.41875
"1000000000","hospital","station","high_temp",2024-02-21,29.1612903225806
"1000000000","hospital","station","high_temp",2024-02-22,NA
"1000000000","hospital","station","high_temp",2024-02-23,NA
"1000000000","hospital","station","high_temp",2024-02-24,27.0867256637168
"1000000000","hospital","station","high_temp",2024-02-25,26.6770833333333
"1000000000","hospital","station","high_temp",2024-02-26,28.0465277777778
"1000000000","hospital","station","high_temp",2024-02-27,26.2097222222222
"1000000000","hospital","station","high_temp",2024-02-28,27.4909722222222
"1000000000","hospital","station","high_temp",2024-02-29,27.9166666666667
"1000000000","hospital","station","high_temp",2024-03-01,26.2019455252918
"1000000000","hospital","station","high_temp",2024-03-02,26.7215277777778
"1000000000","hospital","station","high_temp",2024-03-03,27.8736111111111
"1000000000","hospital","station","high_temp",2024-03-04,29.1576388888889
"1000000000","hospital","station","high_temp",2024-03-05,28.8638888888889
"1000000000","hospital","station","high_temp",2024-03-06,26.0861111111111
"1000000000","hospital","station","high_temp",2024-03-07,26.4033210332103
"1000000000","hospital","station","high_temp",2024-03-08,27.4680555555556
"1000000000","hospital","station","high_temp",2024-03-09,26.4354166666667
"1000000000","hospital","station","high_temp",2024-03-10,25.4701388888889
"1000000000","hospital","station","high_temp",2024-03-11,26.8129213483146
"1000000000","hospital","station","high_temp",2024-03-12,NA
"1000000000","hospital","station","high_temp",2024-03-13,NA
"1000000000","hospital","station","high_temp",2024-03-14,NA
"1000000000","hospital","station","high_temp",2024-03-15,NA
"1000000000","hospital","station","high_temp",2024-03-16,32.4344680851064
"1000000000","hospital","station","high_temp",2024-03-17,28.9016666666667
"1000000000","hospital","station","high_temp",2024-03-18,26.2380707395498
"1000000000","hospital","station","high_temp",2024-03-19,26.96875
"1000000000","hospital","station","high_temp",2024-03-20,27.0597222222222
"1000000000","hospital","station","high_temp",2024-03-21,29.54375
"1000000000","hospital","station","high_temp",2024-03-22,28.7420138888889
"1000000000","hospital","station","high_temp",2024-03-23,26.4604166666667
"1000000000","hospital","station","high_temp",2024-03-24,27.6107638888889
"1000000000","hospital","station","high_temp",2024-03-25,29.503125
"1000000000","hospital","station","high_temp",2024-03-26,29.1201388888889
"1000000000","hospital","station","high_temp",2024-03-27,25.89
"1000000000","hospital","station","high_temp",2024-03-28,NA
"1000000000","hospital","station","high_temp",2024-03-29,NA
"1000000000","hospital","station","high_temp",2024-03-30,NA
"1000000000","hospital","station","high_temp",2024-03-31,NA
"1000000000","hospital","station","high_temp",2024-04-01,31.9928571428571
"1000000000","hospital","station","high_temp",2024-04-02,29.890625
"1000000000","hospital","station","high_temp",2024-04-03,25.9673611111111
"1000000000","hospital","station","high_temp",2024-04-04,29.1052083333333
"1000000000","hospital","station","high_temp",2024-04-05,28.0128472222222
"1000000000","hospital","station","high_temp",2024-04-06,26.7888888888889
"1000000000","hospital","station","high_temp",2024-04-07,27.7951388888889
"1000000000","hospital","station","high_temp",2024-04-08,27.7045138888889
"1000000000","hospital","station","high_temp",2024-04-09,28.3572916666667
"1000000000","hospital","station","high_temp",2024-04-10,28.5935483870968
"1000000000","hospital","station","high_temp",2024-04-11,27.3659722222222
"1000000000","hospital","station","high_temp",2024-04-12,29.0291666666667
"1000000000","hospital","station","high_temp",2024-04-13,29.7444444444444
"1000000000","hospital","station","high_temp",2024-04-14,28.6819444444444
"1000000000","hospital","station","high_temp",2024-04-15,28.7458333333333
"1000000000","hospital","station","high_temp",2024-04-16,28.2881944444444
"1000000000","hospital","station","high_temp",2024-04-17,28.7618055555556
"1000000000","hospital","station","high_temp",2024-04-18,26.9798611111111
"1000000000","hospital","station","high_temp",2024-04-19,26.8548611111111
"1000000000","hospital","station","high_temp",2024-04-20,26.43125
"1000000000","hospital","station","high_temp",2024-04-21,27.7819444444444
"1000000000","hospital","station","high_temp",2024-04-22,28.3826388888889
"1000000000","hospital","station","high_temp",2024-04-23,25.7444444444444
"1000000000","hospital","station","high_temp",2024-04-24,27.4959390862944
"1000000000","hospital","station","high_temp",2024-04-25,28.6881944444444
"1000000000","hospital","station","high_temp",2024-04-26,28.4840277777778
"1000000000","hospital","station","high_temp",2024-04-27,28.2159722222222
"1000000000","hospital","station","high_temp",2024-04-28,27.2791666666667
"1000000000","hospital","station","high_temp",2024-04-29,29.275
"1000000000","hospital","station","high_temp",2024-04-30,28.7847222222222
"1000000000","hospital","station","high_temp",2024-05-01,29.4729166666667
"1000000000","hospital","station","high_temp",2024-05-02,27.9777777777778
"1000000000","hospital","station","high_temp",2024-05-03,29.5916666666667
"1000000000","hospital","station","high_temp",2024-05-04,29.1770833333333
"1000000000","hospital","station","high_temp",2024-05-05,27.7881944444444
"1000000000","hospital","station","high_temp",2024-05-06,28.1555555555556
"1000000000","hospital","station","high_temp",2024-05-07,27.98125
"1000000000","hospital","station","high_temp",2024-05-08,29.4268482490272
"1000000000","hospital","station","high_temp",2024-05-09,27.2525714285714
"1000000000","hospital","station","high_temp",2024-05-10,28.5270833333333
"1000000000","hospital","station","high_temp",2024-05-11,29.3541666666667
"1000000000","hospital","station","high_temp",2024-05-12,29.6069444444444
"1000000000","hospital","station","high_temp",2024-05-13,29.7916666666667
"1000000000","hospital","station","high_temp",2024-05-14,26.7722222222222
"1000000000","hospital","station","high_temp",2024-05-15,26.86875
"1000000000","hospital","station","high_temp",2024-05-16,25.7791666666667
"1000000000","hospital","station","high_temp",2024-05-17,25.3727810650888
"1000000000","hospital","station","high_temp",2024-05-18,NA
"1000000000","hospital","station","high_temp",2024-05-19,NA
"1000000000","hospital","station","high_temp",2024-05-20,NA
"1000000000","hospital","station","high_temp",2024-05-21,NA
"1000000000","hospital","station","high_temp",2024-05-22,NA
"1000000000","hospital","station","high_temp",2024-05-23,29.1181818181818
"1000000000","hospital","station","high_temp",2024-05-24,27.5277777777778
"1000000000","hospital","station","high_temp",2024-05-25,28.4479166666667
"1000000000","hospital","station","high_temp",2024-05-26,26.2631944444444
"1000000000","hospital","station","high_temp",2024-05-27,25.2756944444444
"1000000000","hospital","station","high_temp",2024-05-28,24.2958333333333
"1000000000","hospital","station","high_temp",2024-05-29,23.5409722222222
"1000000000","hospital","station","high_temp",2024-05-30,22.1104166666667
"1000000000","hospital","station","high_temp",2024-05-31,23.5527777777778
"1000000000","hospital","station","high_temp",2024-06-01,25.6506944444444
"1000000000","hospital","station","high_temp",2024-06-02,26.5229166666667
"1000000000","hospital","station","high_temp",2024-06-03,27.6236111111111
"1000000000","hospital","station","high_temp",2024-06-04,25.9159722222222
"1000000000","hospital","station","high_temp",2024-06-05,26.9597222222222
"1000000000","hospital","station","high_temp",2024-06-06,25.2590277777778
"1000000000","hospital","station","high_temp",2024-06-07,25.1041666666667
"1000000000","hospital","station","high_temp",2024-06-08,25.8381944444444
"1000000000","hospital","station","high_temp",2024-06-09,26.9402777777778
"1000000000","hospital","station","high_temp",2024-06-10,26.1891625615764
"1000000000","hospital","station","high_temp",2024-06-11,27.7833333333333
"1000000000","hospital","station","high_temp",2024-06-12,27.7527777777778
"1000000000","hospital","station","high_temp",2024-06-13,27.5277777777778
"1000000000","hospital","station","high_temp",2024-06-14,28.4958333333333
"1000000000","hospital","station","high_temp",2024-06-15,27.7145833333333
"1000000000","hospital","station","high_temp",2024-06-16,26.8027777777778
"1000000000","hospital","station","high_temp",2024-06-17,27.0069444444444
"1000000000","hospital","station","high_temp",2024-06-18,29.2708333333333
"1000000000","hospital","station","high_temp",2024-06-19,29.1729166666667
"1000000000","hospital","station","high_temp",2024-06-20,26.5402777777778
"1000000000","hospital","station","high_temp",2024-06-21,25.5124423963134
"1000000000","hospital","station","high_temp",2024-06-22,27.0354166666667
"1000000000","hospital","station","high_temp",2024-06-23,29.0756944444444
"1000000000","hospital","station","high_temp",2024-06-24,29.7506944444444
"1000000000","hospital","station","high_temp",2024-06-25,27.8486111111111
"1000000000","hospital","station","high_temp",2024-06-26,28.7739299610895
"1000000000","hospital","station","high_temp",2024-06-27,28.03125
"1000000000","hospital","station","high_temp",2024-06-28,27.4057142857143
"1000000000","hospital","station","high_temp",2024-06-29,27.9444444444444
"1000000000","hospital","station","high_temp",2024-06-30,28.1076388888889
"1000000000","hospital","station","high_temp",2024-07-01,26.3444444444444
"1000000000","hospital","station","high_temp",2024-07-02,24.9875
"1000000000","hospital","station","high_temp",2024-07-03,26.3520833333333
"1000000000","hospital","station","high_temp",2024-07-04,26.2125
"1000000000","hospital","station","high_temp",2024-07-05,26.4840277777778
"1000000000","hospital","station","high_temp",2024-07-06,27.075
"1000000000","hospital","station","high_temp",2024-07-07,27.0027777777778
"1000000000","hospital","station","high_temp",2024-07-08,27.6083333333333
"1000000000","hospital","station","high_temp",2024-07-09,27.3805555555556
"1000000000","hospital","station","high_temp",2024-07-10,27.3972222222222
"1000000000","hospital","station","high_temp",2024-07-11,27.7784722222222
"1000000000","hospital","station","high_temp",2024-07-12,25.5975155279503
"1000000000","hospital","station","high_temp",2024-07-13,25.4709677419355
"1000000000","hospital","station","high_temp",2024-07-14,23.75
"1000000000","hospital","station","high_temp",2024-07-15,25.4819444444444
"1000000000","hospital","station","high_temp",2024-07-16,25.6555555555556
"1000000000","hospital","station","high_temp",2024-07-17,26.5611111111111
"1000000000","hospital","station","high_temp",2024-07-18,27.7916666666667
"1000000000","hospital","station","high_temp",2024-07-19,27.7597222222222
"1000000000","hospital","station","high_temp",2024-07-20,26.4131944444444
